,Open,High,Low,Close,Adj Close,Volume,Openrolling_mean_3,Openrolling_mean_5,Highrolling_mean_3,Highrolling_mean_5,Lowrolling_mean_3,Lowrolling_mean_5,Openrolling_stnd_3,Openrolling_stnd_5,Highrolling_stnd_3,Highrolling_stnd_5,Lowrolling_stnd_3,Lowrolling_stnd_5,compound,negative,positive,neutral
2008-01-09,6287.549805,6338.299805,6231.25,6272.0,6272.0,0.0,6280.333333333333,6240.870019600001,6328.399902666667,6303.079883,6215.400065333332,6190.340039199999,8.475543573638104,54.39917026977474,34.72518407614308,49.15015388419231,19.695962700738303,41.45646525621292,-0.9473,0.086,0.079,0.835
2008-01-10,6278.100098,6347.0,6142.899902,6156.950195,6156.950195,0.0,6282.700032666667,6259.6400392000005,6347.466634333333,6326.4499026,6198.583333333333,6193.6400392000005,4.729804936624376,45.43061424690306,9.40882909375821,29.75884732088562,48.464043846428474,35.292809177502164,-0.9962,0.131,0.085,0.785
2008-01-11,6166.649902,6224.200195,6112.549805,6200.100098,6200.100098,0.0,6244.099934999999,6257.15,6303.166666666667,6311.279980599999,6162.233235666667,6180.3299806,67.23990592921344,50.954010772684235,68.52518576308134,55.11297682723243,61.66658265434392,51.13892209313951,0.5378,0.074,0.072,0.854
2008-01-14,6208.799805,6244.149902,6172.0,6206.799805,6206.799805,0.0,6217.849934999999,6244.7099610000005,6271.783365666667,6302.15,6142.483235666667,6176.059961,56.27357449877733,54.2157515400776,65.89881837078599,62.80530956712471,29.72728762458766,50.66916516521043,-0.9991,0.155,0.078,0.767
2008-01-15,6226.350098,6260.450195,6053.299805,6074.25,6074.25,0.0,6200.599935000001,6233.4899416,6242.933430666667,6282.8200194,6112.6165366666655,6142.3999023999995,30.68316723578925,50.10166162549841,18.155590788303723,56.18973962418675,59.35012563677851,66.33364774484022,-0.9969,0.132,0.087,0.781
2008-01-16,6065.0,6065.0,5825.75,5935.75,5935.75,0.0,6166.716634333333,6188.979980599999,6189.866698999999,6228.1600584,6017.016601666666,6061.2999024,88.52518551897718,80.0022100303809,108.44442944353014,102.54041266096226,175.95345622664266,138.82307277515724,-0.9972,0.114,0.067,0.819
2008-01-17,5937.950195,6013.149902,5880.299805,5913.200195,5913.200195,0.0,6076.433431,6120.95,6112.866699000001,6161.390038799999,5919.7832033333325,6008.779883,144.53950505285084,119.93183592127468,130.4138580992565,113.87866675047158,118.80207278011032,149.497571279732,-0.9965,0.115,0.083,0.802
2008-01-18,5907.75,5908.75,5677.0,5705.299805,5705.299805,0.0,5970.233398333334,6069.1700196,5995.6333006666655,6098.2999998,5794.349935000001,5921.669921999999,83.44785520367043,147.89735306612,79.58416373059126,151.5367210788761,105.2244065783539,194.14367282933432,-0.9925,0.11,0.084,0.806
2008-01-21,5705.0,5705.0,4977.100098,5208.799805,5208.799805,0.0,5850.233398333334,5968.4100586,5875.6333006666655,5990.470019400001,5511.466634333334,5682.6899416,126.6789956468416,193.55553833258327,156.72149615383887,204.4074875383456,473.8073438043411,416.7603964206047,-0.9972,0.13,0.085,0.785
2008-01-22,5203.350098,5203.350098,4448.5,4899.299805,4899.299805,0.0,5605.366699333333,5763.8100586,5605.700032666667,5779.05,5034.200032666667,5361.7299806,362.61536293392106,338.87050073164505,363.03253031883844,350.10928161047303,616.2372630766529,625.6104159879131,-0.986,0.102,0.086,0.812
2008-01-23,4903.049805,5328.049805,4891.600098,5203.399902,5203.399902,0.0,5270.466634333333,5531.4200196,5412.133301,5631.659960999999,4772.400065333333,5174.9000002,405.16601646999965,458.1211759211081,261.18131971646557,354.7254895292748,283.7446065429308,590.9174837907726,-0.9949,0.114,0.086,0.8
2008-01-24,5208.0,5357.200195,4995.799805,5033.450195,5033.450195,0.0,5104.799967666666,5385.4299806,5296.200032666667,5500.470019599999,4778.633300999999,4998.0000002,174.7362340763008,409.9598503026109,81.72067721811375,294.5591095743969,290.6120989507978,440.10051008470634,-0.9988,0.147,0.083,0.77
2008-01-25,5035.049805,5399.25,5035.049805,5383.350098,5383.350098,0.0,5048.6998699999995,5210.8899416,5361.5,5398.570019600001,4974.149902666666,4869.609961200001,152.93266022504196,304.09507319151805,35.794317765306225,186.20900629765782,74.13496687042611,241.17706858368913,-0.9981,0.13,0.084,0.786
